d1,d2,d1d2,angle
22,45,2245,97.6241487475
22,46,2246,104.937025989
22,47,2247,111.424482508
23,24,2324,15.0
23,25,2325,30.0
23,26,2326,45.0
23,27,2327,60.0
23,28,2328,75.0
23,29,2329,88.4124084603
23,30,2330,95.4394398725
23,31,2331,102.171132228
23,33,2333,108.210147236
23,34,2334,113.133660277
23,35,2335,116.517923764
23,36,2336,118.011667668
23,37,2337,117.439968417
23,38,2338,114.871373792
23,39,2339,72.5606601252
23,40,2340,73.1504595978
23,41,2341,74.9139459035
23,42,2342,77.7051454964
23,43,2343,81.3090844045
23,44,2344,85.4707486074
23,45,2345,89.9168948536
23,46,2346,94.368219414
23,47,2347,98.5453294633
24,25,2425,15.0
24,26,2426,30.0
24,27,2427,45.0
24,28,2428,60.0
24,29,2429,101.733998795
24,30,2430,106.714699156
24,31,2431,110.624646006
24,33,2433,113.133660277
24,34,2434,114.0
24,35,2435,113.133660277
24,36,2436,110.624646006
24,37,2437,106.714699156
24,38,2438,101.733998795
24,39,2439,85.5139004593
24,40,2440,83.6491809573
24,41,2441,82.2138416799
24,42,2442,81.3090844045
24,43,2443,81.0
24,44,2444,81.3090844045
24,45,2445,82.2138416799
24,46,2446,83.6491809573
24,47,2447,85.5139004593
25,26,2526,15.0
25,27,2527,30.0
25,28,2528,45.0
25,29,2529,114.871373792
25,30,2530,117.439968417
25,31,2531,118.011667668
25,33,2533,116.517923764
25,34,2534,113.133660277
25,35,2535,108.210147236
25,36,2536,102.171132228
25,37,2537,95.4394398725
25,38,2538,88.4124084603
25,39,2539,98.5453294633
25,40,2540,94.368219414
25,41,2541,89.9168948536
25,42,2542,85.4707486074
25,43,2543,81.3090844045
25,44,2544,77.7051454964
25,45,2545,74.9139459035
25,46,2546,73.1504595978
25,47,2547,72.5606601252
26,27,2627,15.0
26,28,2628,30.0
26,29,2629,127.526972136
26,30,2630,127.058325472
26,31,2631,123.714329708
26,33,2633,118.011667668
26,34,2634,110.624646006
26,35,2635,102.171132228
26,36,2636,93.1558703815
26,37,2637,84.0028449279
26,38,2638,75.1143608196
26,39,2639,111.424482508
26,40,2640,104.937025989
26,41,2641,97.6241487475
26,42,2642,89.9168948536
26,43,2643,82.2138416799
26,44,2644,74.9139459035
26,45,2645,68.4492103098
26,46,2646,63.2980409126
26,47,2647,59.9503142159
27,28,2728,15.0
27,29,2729,139.128193445
27,30,2730,134.69787351
27,31,2731,127.058325472
27,33,2733,117.439968417
