,d1,d2,d1d2,angle,Cd,Cd_err,Sd1,Sd1_err,Sd2,Sd2_err,W,W_err
144,4,21,421,62.560031583100006,3147.0,56.098128311023,932432.0,965.6251860841245,862920.0,928.9348739281995,3.911191122582801e-09,6.996488727167153e-11
145,4,22,422,61.988332332,2977.0,54.56189146281496,932432.0,965.6251860841245,836403.0,914.5507093649865,3.817210266301934e-09,7.019689776654303e-11
146,4,23,423,63.482076236000005,3021.0,54.96362433464518,932432.0,965.6251860841245,855310.0,924.829714055512,3.788000311053683e-09,6.915127637257352e-11
147,4,24,424,66.8663397232,3009.0,54.85435260760991,932432.0,965.6251860841245,904433.0,951.0168242465535,3.5680309927451095e-09,6.52583459478766e-11
148,4,25,425,71.789852764,2994.0,54.71745608121781,932432.0,965.6251860841245,942628.0,970.8903130632214,3.4063893825338072e-09,6.245266008843057e-11
149,4,26,426,77.8288677719,2801.0,52.92447448959697,932432.0,965.6251860841245,931180.0,964.9766836561389,3.2259846728230603e-09,6.113745023281593e-11
150,4,27,427,84.5605601275,2637.0,51.35172830587107,932432.0,965.6251860841245,932167.0,965.4879595313449,3.033885846740881e-09,5.924737417406669e-11
151,4,28,428,91.5875915397,2582.0,50.813384063650005,932432.0,965.6251860841245,906860.0,952.2919720337876,3.053506311334627e-09,6.026107196039703e-11
152,4,29,429,105.0,2369.0,48.67237409455183,932432.0,965.6251860841245,873310.0,934.5105670884626,2.9092393822896867e-09,5.992867684101154e-11
153,4,30,430,120.0,2460.0,49.59838707054898,932432.0,965.6251860841245,893373.0,945.1841090496603,2.9531473338762843e-09,5.970150040651304e-11
154,4,31,431,135.0,2814.0,53.04714883949938,932432.0,965.6251860841245,908624.0,953.2177086059617,3.32141176448207e-09,6.280358924358908e-11
155,4,33,433,150.0,3095.0,55.632724182804495,932432.0,965.6251860841245,937435.0,968.2122701143587,3.540807524461574e-09,6.385647651625784e-11
156,4,34,434,165.0,3641.0,60.340699366182356,932432.0,965.6251860841245,1007247.0,1003.6169588045033,3.8767476007886286e-09,6.44887485138872e-11
157,4,35,435,180.0,3850.0,62.048368229954285,932432.0,965.6251860841245,1023635.0,1011.7484865321024,4.033652055800256e-09,6.526414557178521e-11
158,4,36,436,165.0,3712.0,60.92618484691127,932432.0,965.6251860841245,1017769.0,1008.845379629604,3.911484190913047e-09,6.444478037684964e-11
159,4,37,437,150.0,3486.0,59.04235767650204,932432.0,965.6251860841245,995171.0,997.5825780355228,3.756751783864772e-09,6.38580453679213e-11
160,4,38,438,135.0,2987.0,54.653453687758834,932432.0,965.6251860841245,928903.0,963.7961402703374,3.44863862106231e-09,6.330230225875507e-11
